strains,AMP,AUG,AXO,AZI,CHL,CIP,COT,FIS,FOX,GEN,KAN,NAL,STR,TET,TIO
SRR2407568,1,1,0.25,4,4,0.015,0.12,256,4,0.5,#N/A,2,4,32,0.5
SRR2102383,32,32,16,#N/A,4,0.01,0.12,16,32,0.5,#N/A,4,64,32,8
SRR2015825,32,32,32,#N/A,4,0.01,0.25,256,32,0.25,#N/A,4,#N/A,32,8
SRR2567184,32,16,0.25,4,8,0.015,0.12,64,2,0.5,8,4,#N/A,32,1
SRR3509860,32,8,0.25,#N/A,8,0.01,0.12,64,2,0.25,#N/A,2,#N/A,32,1
SRR2533336,1,1,0.25,#N/A,8,0.03,0.12,64,2,0.5,#N/A,4,#N/A,4,1
SRR1556095,32,8,0.25,#N/A,8,0.01,0.12,256,4,16,#N/A,8,64,32,1
SRR3098648,1,1,0.25,#N/A,8,0.01,0.12,64,2,0.25,#N/A,2,#N/A,4,1
SRR3295711,1,1,0.25,4,4,0.015,0.125,32,4,0.5,#N/A,2,8,32,0.5
SRR3664967,1,1,0.25,8,4,0.015,0.12,32,2,0.25,8,2,#N/A,4,0.5
SRR3295541,1,1,0.25,4,8,0.015,0.12,64,4,0.5,#N/A,4,8,4,1
SRR3295913,1,1,0.25,4,8,0.015,0.25,256,4,1,#N/A,4,64,32,1
SRR3295736,1,1,0.25,2,4,0.015,0.125,32,4,0.25,#N/A,2,4,32,1
SRR2407572,1,1,0.25,4,4,0.015,0.12,32,2,0.25,#N/A,4,2,4,1
SRR3932910,1,1,0.25,4,8,0.015,0.12,32,4,0.5,#N/A,4,16,4,1
SRR2566915,32,8,0.25,4,32,0.015,0.12,256,2,16,64,4,64,32,1
SRR2993931,1,1,0.25,#N/A,4,0.01,0.12,32,2,0.25,#N/A,2,#N/A,4,0.5
SRR1778004,1,1,0.25,#N/A,8,0.01,0.12,#N/A,4,0.5,#N/A,4,#N/A,32,0.5
SRR2407801,32,8,0.25,4,8,0.015,0.12,64,2,16,#N/A,4,64,32,1
SRR1801549,1,1,0.25,#N/A,8,0.01,0.12,32,2,0.25,#N/A,8,#N/A,4,1
SRR1713648,2,1,0.25,#N/A,8,0.01,0.12,#N/A,2,0.5,#N/A,4,#N/A,4,1
SRR1822307,1,1,0.25,#N/A,8,0.01,0.12,64,2,1,#N/A,4,#N/A,32,1
SRR3038514,1,1,0.25,2,8,0.015,0.125,256,4,16,#N/A,2,32,4,2
SRR3210379,1,1,0.25,#N/A,8,0.01,0.12,64,4,0.5,#N/A,4,#N/A,4,1
SRR2599648,32,16,0.25,#N/A,4,0.03,0.12,128,2,0.5,#N/A,4,64,32,1
SRR3289770,32,16,0.25,#N/A,8,0.01,0.12,256,2,0.25,#N/A,4,#N/A,32,1
SRR3665015,32,16,0.25,8,4,0.015,0.12,32,2,0.5,8,4,64,32,1
SRR4280582,1,1,0.25,4,4,0.015,0.12,64,2,1,#N/A,4,64,32,1
SRR1300634,1,1,0.25,#N/A,8,0.01,0.12,64,2,0.25,#N/A,2,#N/A,32,0.5
SRR2989561,1,1,0.25,2,4,0.015,0.125,256,8,0.5,#N/A,2,8,32,1
SRR3242213,32,8,0.25,#N/A,8,0.01,0.12,32,2,16,#N/A,4,64,32,1
SRR3295519,1,1,0.25,4,8,0.015,0.12,32,2,0.5,#N/A,4,8,4,1
SRR2979525,1,1,0.25,#N/A,4,0.01,0.12,256,2,0.25,#N/A,4,#N/A,32,1
SRR2062219,1,1,0.25,#N/A,8,0.01,0.12,64,2,0.5,#N/A,4,#N/A,32,0.5
SRR1783173,32,8,0.25,#N/A,4,0.01,0.12,256,2,16,#N/A,4,64,32,0.5
SRR3294536,1,1,0.25,#N/A,8,0.01,0.12,32,4,0.25,#N/A,4,#N/A,4,1
SRR4280606,1,1,0.25,2,4,0.015,0.12,256,4,0.25,#N/A,4,8,32,0.5
SRR2096621,32,32,32,#N/A,8,0.01,0.25,32,32,0.25,#N/A,4,#N/A,32,8
SRR2939004,32,32,16,#N/A,4,0.01,0.12,256,32,0.5,#N/A,4,#N/A,32,8
SRR2566969,1,1,0.25,8,8,0.015,0.12,32,2,0.5,8,4,#N/A,4,0.5
SRR3664692,32,32,16,4,4,0.015,0.12,256,32,0.25,64,4,64,32,8
SRR1752837,1,1,0.25,#N/A,4,0.01,0.12,64,1,0.5,#N/A,2,#N/A,4,0.5
SRR3173698,32,16,0.25,#N/A,8,0.01,0.12,64,2,0.5,#N/A,2,#N/A,32,1
SRR1774022,1,1,0.25,#N/A,8,0.03,0.12,32,4,0.25,#N/A,4,#N/A,4,1
SRR2973740,1,1,0.25,2,4,0.015,0.125,16,2,2,#N/A,2,32,4,0.5
SRR1300645,2,1,0.25,#N/A,8,0.03,0.12,128,4,0.5,#N/A,8,#N/A,4,1
SRR3215341,32,16,0.25,#N/A,8,0.03,0.12,64,2,0.5,#N/A,4,#N/A,32,1
SRR1195655,2,1,0.25,#N/A,8,0.03,0.12,#N/A,4,0.5,#N/A,4,#N/A,4,1
SRR3184168,1,1,0.25,#N/A,8,0.01,0.12,256,2,0.25,#N/A,4,#N/A,32,0.5
SRR3664983,1,1,0.25,4,8,0.015,0.12,64,4,0.5,8,4,#N/A,4,1
SRR3151793,32,32,8,#N/A,4,0.01,0.12,256,32,0.25,#N/A,2,#N/A,32,8
SRR2567079,1,1,0.25,4,4,0.015,0.12,256,4,16,64,4,#N/A,32,1
SRR3242211,1,1,0.25,#N/A,8,0.01,0.12,64,2,0.5,#N/A,4,#N/A,4,1
SRR3055290,32,32,16,#N/A,8,0.01,0.12,256,32,0.5,#N/A,2,#N/A,32,8
SRR3665291,1,1,0.25,4,8,0.015,0.12,32,2,0.5,64,4,64,32,1
SRR3099643,32,8,0.25,#N/A,4,0.01,0.12,64,2,0.25,#N/A,4,#N/A,32,1
SRR2973727,32,32,32,8,16,0.03,0.125,32,32,0.5,#N/A,4,8,4,8
SRR3295743,1,1,0.25,4,8,0.015,0.25,256,4,0.5,#N/A,4,32,32,1
SRR3664789,1,1,0.25,4,8,0.03,0.12,16,2,0.25,8,4,#N/A,4,1
SRR1631194,32,16,0.25,#N/A,32,0.01,0.12,256,2,0.25,#N/A,4,64,32,1
SRR1763851,1,1,0.25,#N/A,4,0.01,0.12,256,4,16,#N/A,2,64,4,0.5
SRR2566908,1,1,0.25,4,4,0.03,0.12,16,2,0.25,8,4,#N/A,4,1
SRR2064122,1,1,0.25,#N/A,8,0.01,0.12,64,2,0.5,#N/A,4,#N/A,4,1
SRR3271886,1,1,0.25,#N/A,4,0.01,0.12,32,2,0.25,#N/A,2,#N/A,4,0.5
SRR1553755,1,1,0.25,#N/A,4,0.01,0.12,64,4,0.5,#N/A,4,#N/A,4,0.5
SRR3295757,1,1,0.25,2,8,0.015,0.125,32,4,0.5,#N/A,4,8,32,1
SRR3295900,1,1,0.25,4,4,0.015,0.125,64,2,0.5,#N/A,2,8,32,0.5
SRR3933085,32,8,0.25,4,8,0.015,0.12,16,2,0.25,#N/A,4,8,4,1
SRR2962882,32,32,8,2,4,0.015,0.125,32,32,0.25,#N/A,2,64,32,8
SRR1752865,1,1,0.25,#N/A,4,0.01,0.12,#N/A,2,16,#N/A,2,64,4,0.5
SRR3000029,1,1,0.25,4,8,0.015,0.125,32,4,0.25,#N/A,4,4,32,1
SRR3664754,2,1,0.25,4,8,0.015,0.12,16,2,0.5,8,4,#N/A,4,1
SRR3665231,32,32,32,4,4,0.015,0.12,16,32,0.5,8,2,64,32,8
SRR2567074,1,1,0.25,4,8,0.015,0.12,64,4,0.5,8,4,#N/A,4,1
SRR2599660,32,32,64,#N/A,8,0.03,0.12,64,32,0.5,#N/A,4,#N/A,4,8
SRR1521526,1,1,0.25,#N/A,8,0.01,0.12,64,2,0.5,#N/A,4,#N/A,32,1
SRR2962665,1,1,0.25,#N/A,8,0.01,0.12,64,2,0.5,#N/A,4,64,32,0.5
SRR3215340,32,16,0.25,#N/A,8,0.03,0.12,64,4,0.5,#N/A,4,#N/A,32,1
SRR3057222,32,8,0.25,#N/A,8,0.01,0.12,32,2,16,#N/A,4,64,32,1
SRR3045970,32,16,0.25,#N/A,4,0.01,0.12,256,2,8,#N/A,2,64,4,1
SRR1946986,1,1,0.25,#N/A,4,0.01,0.12,64,4,0.5,#N/A,2,64,32,1
SRR2567076,1,1,0.25,2,4,0.015,0.12,32,2,0.25,8,4,64,4,0.5
SRR3052029,32,32,16,#N/A,4,0.01,0.12,256,32,0.25,#N/A,2,#N/A,32,8
SRR2670697,32,16,0.25,#N/A,4,0.01,0.12,32,2,0.5,#N/A,4,64,32,1
SRR3665079,32,32,16,2,4,0.015,0.12,16,32,0.5,64,4,64,32,8
SRR3021490,32,32,8,#N/A,8,0.01,0.5,256,32,0.25,#N/A,4,#N/A,32,8
SRR1664272,32,32,16,#N/A,4,0.01,0.12,256,32,0.25,#N/A,4,#N/A,32,8
SRR1812851,32,32,32,#N/A,8,0.03,0.25,256,32,0.25,#N/A,4,#N/A,32,8
SRR3295826,1,1,0.25,4,8,0.015,0.125,128,4,1,#N/A,2,16,32,1
SRR1713636,1,1,0.25,#N/A,8,0.01,0.12,#N/A,2,0.5,#N/A,4,#N/A,4,0.5
SRR2912642,32,1,16,#N/A,16,0.03,0.25,256,8,8,#N/A,8,64,4,2
SRR1181566,1,1,0.25,#N/A,2,0.01,0.12,#N/A,4,0.5,#N/A,4,#N/A,8,0.5
SRR3295750,1,1,0.25,2,8,0.015,0.125,256,4,2,#N/A,4,8,32,1
SRR3242326,32,8,0.25,#N/A,4,0.03,0.12,64,2,0.5,#N/A,4,64,32,1
SRR2407774,1,1,0.25,2,4,0.015,0.12,256,4,0.25,#N/A,4,32,32,1
SRR3664788,1,1,0.25,2,4,0.015,0.12,256,2,0.25,8,2,#N/A,32,0.5
SRR2567085,1,1,0.25,2,4,0.015,0.12,256,4,0.25,8,2,64,32,1
SRR1619553,4,2,0.25,#N/A,16,0.03,0.25,256,16,2,#N/A,8,#N/A,32,2
SRR3056919,1,1,0.25,4,8,0.015,0.125,64,2,0.5,#N/A,2,8,32,1
SRR3295907,1,1,0.25,4,8,0.5,0.125,64,4,0.5,#N/A,16,8,32,1
SRR3242334,1,2,0.25,#N/A,8,0.01,0.12,32,2,0.5,#N/A,4,64,4,1
SRR2407717,32,32,16,4,32,0.015,0.12,256,32,0.5,#N/A,2,64,32,8
SRR2973725,32,4,0.25,4,8,0.015,0.125,256,2,0.5,#N/A,4,64,32,0.5
SRR1752887,1,1,0.25,#N/A,4,0.01,0.12,64,2,0.25,#N/A,4,#N/A,4,1
SRR3295651,1,1,0.25,4,4,0.015,0.125,256,4,0.25,#N/A,2,4,32,0.5
SRR3110464,32,32,16,#N/A,2,0.01,0.12,256,32,16,#N/A,2,64,32,8
SRR3509887,1,1,0.25,#N/A,8,0.01,0.12,64,4,0.5,#N/A,2,#N/A,4,1
SRR3099623,32,32,16,#N/A,8,0.01,0.12,256,32,0.5,#N/A,4,#N/A,32,8
SRR3295615,1,1,0.25,4,8,0.03,0.12,32,4,0.25,#N/A,4,8,4,1
SRR3052030,1,1,0.25,#N/A,4,0.01,0.12,64,2,0.5,#N/A,2,64,32,0.5
SRR3295803,4,2,0.25,8,16,0.03,0.125,16,16,0.5,#N/A,4,16,32,2
SRR1637076,1,1,0.25,#N/A,8,0.01,0.12,#N/A,2,0.25,#N/A,4,#N/A,4,0.5
SRR2143425,32,16,0.25,#N/A,8,0.01,0.25,256,4,16,#N/A,2,64,32,1
SRR2962399,1,2,0.25,#N/A,8,0.01,0.12,64,2,0.5,#N/A,4,64,4,1
SRR3096085,1,1,0.25,#N/A,8,0.01,0.12,32,1,0.25,#N/A,4,#N/A,4,1
SRR3932917,1,1,0.25,4,8,0.015,0.12,32,4,0.5,#N/A,4,64,32,1
SRR1181528,1,1,0.25,#N/A,4,0.01,0.12,#N/A,1,0.5,#N/A,4,#N/A,4,0.5
