strains,AMP,AUG,AXO,AZI,CHL,CIP,COT,FIS,FOX,GEN,KAN,NAL,STR,TET,TIO
SRR2566899,1,1,0.25,4,4,0.015,0.12,16,2,0.5,8,4,#N/A,4,1
SRR3665037,32,8,0.25,4,8,0.015,0.12,64,2,16,8,4,64,32,1
SRR3156387,1,1,0.25,2,4,0.015,0.125,32,4,0.5,#N/A,2,8,32,1
SRR3223092,1,1,0.25,#N/A,8,0.01,0.12,64,4,0.5,#N/A,4,#N/A,4,1
SRR2669154,1,1,0.25,#N/A,4,0.01,0.12,64,2,0.5,#N/A,2,#N/A,4,1
SRR3330221,1,1,0.25,#N/A,8,0.01,0.12,32,2,0.5,#N/A,4,#N/A,4,1
SRR3665284,1,1,0.25,2,8,0.015,0.12,16,4,0.5,8,4,#N/A,4,1
SRR3295934,32,16,0.25,4,32,0.015,0.25,256,2,0.5,#N/A,4,64,32,1
SRR2002451,1,1,0.25,#N/A,4,0.03,0.12,256,2,0.25,#N/A,4,64,32,1
SRR1588662,1,1,0.25,#N/A,8,0.01,0.12,32,2,0.25,#N/A,4,64,4,0.5
SRR2407582,1,1,0.25,4,8,0.03,0.12,16,4,0.25,#N/A,4,2,4,1
SRR2920118,1,1,0.25,4,8,0.015,0.125,32,4,0.5,#N/A,2,8,32,1
SRR1752892,32,32,0.25,#N/A,8,0.01,0.12,#N/A,4,16,#N/A,4,64,4,1
SRR3295533,1,1,0.25,2,8,0.015,0.12,32,2,0.5,#N/A,8,2,4,1
SRR3932880,1,1,0.25,2,4,0.015,0.12,256,4,0.5,#N/A,4,32,32,1
SRR1767815,1,1,0.25,#N/A,2,0.01,0.12,32,2,0.25,#N/A,2,#N/A,4,0.25
SRR2407767,1,1,0.25,4,4,0.015,0.12,32,2,0.25,#N/A,2,64,32,0.5
SRR3490010,32,8,0.25,#N/A,4,0.01,0.12,32,2,0.5,#N/A,4,64,32,0.5
SRR3765053,32,32,8,#N/A,8,0.03,0.12,256,32,0.25,#N/A,4,#N/A,32,8
SRR2584390,1,1,0.25,#N/A,4,0.01,0.12,64,2,0.25,#N/A,2,#N/A,4,0.5
SRR2016698,32,16,0.25,#N/A,4,0.01,0.12,32,2,0.25,#N/A,4,64,32,1
SRR1664211,2,2,0.25,#N/A,8,0.01,0.12,256,2,16,#N/A,4,64,4,1
SRR3146571,32,8,0.25,#N/A,8,0.01,0.25,256,2,0.25,#N/A,4,#N/A,32,1
SRR2566881,2,1,0.25,4,8,0.015,0.12,64,2,0.5,8,4,#N/A,4,1
SRR3000046,1,1,0.25,4,4,0.015,0.125,32,2,0.5,#N/A,4,64,32,1
SRR3185050,32,8,0.25,#N/A,8,0.01,0.12,32,2,0.25,#N/A,4,64,32,0.5
SRR2533435,2,1,0.5,#N/A,8,0.01,0.12,128,4,0.5,#N/A,4,#N/A,32,1
SRR2989189,1,1,0.25,8,8,0.015,0.25,256,4,0.5,#N/A,4,64,32,1
SRR2407558,1,1,0.25,4,4,0.015,0.12,256,2,0.25,#N/A,2,16,32,1
SRR1713619,2,1,0.25,#N/A,8,0.01,0.12,#N/A,2,0.25,#N/A,4,#N/A,4,1
SRR3210386,1,1,0.25,#N/A,8,0.01,0.12,64,4,1,#N/A,4,#N/A,4,1
SRR1220706,32,32,16,#N/A,32,0.01,4,#N/A,16,0.5,#N/A,4,64,32,8
SRR2533436,1,1,0.25,#N/A,8,0.01,0.25,256,2,0.25,#N/A,4,#N/A,32,1
SRR3194571,2,1,0.25,#N/A,8,0.03,0.5,256,2,0.25,#N/A,4,#N/A,32,1
SRR2973702,1,1,0.25,2,4,0.015,2,16,2,8,#N/A,4,64,4,1
SRR3098646,1,1,0.25,#N/A,4,0.01,0.12,32,2,0.5,#N/A,2,64,32,0.5
SRR3665033,1,1,0.25,4,4,0.015,0.12,32,2,0.5,8,4,64,32,1
SRR3664605,32,8,0.25,4,8,0.015,0.12,256,2,16,8,4,64,4,1
SRR3665315,1,1,0.25,4,4,0.015,0.12,32,2,0.5,8,2,64,32,0.5
SRR3056929,32,32,32,4,32,0.015,0.125,256,32,0.5,#N/A,2,64,32,8
SRR3122771,32,32,32,#N/A,8,0.01,0.12,128,32,2,#N/A,4,#N/A,4,8
SRR1534823,2,1,0.25,#N/A,4,0.01,0.12,32,4,0.5,#N/A,4,#N/A,4,1
SRR2567198,1,1,0.25,8,8,0.015,0.12,32,2,0.5,8,2,#N/A,4,0.5
SRR2989203,32,32,4,2,8,0.015,0.125,256,32,0.25,#N/A,2,4,32,8
SRR2567180,32,8,0.25,4,8,0.015,0.12,256,2,0.5,8,4,64,32,1
SRR3215344,32,8,0.25,#N/A,4,0.03,0.12,256,2,0.25,#N/A,4,#N/A,4,1
SRR3664889,32,32,32,4,8,0.015,0.12,32,32,0.5,8,4,#N/A,4,8
SRR3932982,1,1,0.25,4,8,0.015,0.12,64,2,16,#N/A,4,64,4,1
SRR1752722,1,1,0.25,#N/A,4,0.01,0.12,32,2,0.25,#N/A,2,#N/A,4,0.5
SRR3098267,1,1,0.25,2,4,0.015,0.125,32,4,1,#N/A,4,32,4,1
SRR3933051,1,1,0.25,4,8,0.015,0.12,256,2,8,#N/A,2,32,32,1
SRR2724059,1,1,0.25,#N/A,4,0.01,0.5,256,2,16,#N/A,2,64,4,1
SRR4280566,1,1,0.25,4,8,0.015,0.12,64,4,0.5,#N/A,4,64,32,1
SRR3295654,1,1,0.25,4,4,0.015,0.125,256,2,0.25,#N/A,4,4,32,0.5
SRR3665242,32,8,0.25,2,4,0.015,0.12,16,2,0.5,8,2,64,4,1
SRR3664707,1,1,0.25,4,8,0.015,0.12,16,1,0.5,8,4,#N/A,4,1
SRR3295844,1,1,0.25,8,16,0.015,0.25,256,4,1,#N/A,4,64,32,1
SRR3295568,32,16,0.25,4,8,0.015,4,256,2,16,#N/A,4,16,4,1
SRR1752885,2,1,0.25,#N/A,8,0.01,0.12,32,2,0.5,#N/A,4,#N/A,4,1
SRR1562580,32,32,16,#N/A,8,0.01,0.12,256,32,0.25,#N/A,8,#N/A,32,8
SRR3664688,32,32,16,4,8,0.015,0.12,256,32,0.5,8,4,#N/A,32,8
SRR2918195,32,32,0.25,#N/A,8,0.01,0.12,256,4,16,#N/A,4,64,4,2
SRR2912657,1,1,0.25,#N/A,8,0.01,0.12,64,2,0.5,#N/A,4,#N/A,4,1
SRR2567187,1,1,0.25,4,4,0.015,0.12,32,4,0.25,8,2,64,32,1
SRR1658076,2,1,0.25,#N/A,4,0.01,0.12,#N/A,2,0.5,#N/A,4,#N/A,32,0.5
SRR1583146,1,1,0.25,#N/A,8,0.01,0.12,64,1,0.25,#N/A,4,#N/A,4,0.5
SRR3091339,1,1,0.25,#N/A,8,0.01,0.12,64,4,1,#N/A,4,#N/A,4,1
SRR2973741,2,1,0.25,4,8,0.015,0.125,32,4,2,#N/A,4,64,4,1
SRR3295841,2,1,0.25,8,16,0.03,0.5,256,8,0.5,#N/A,8,64,32,2
SRR3344465,1,1,0.25,#N/A,8,0.01,0.12,64,4,0.25,#N/A,2,#N/A,4,1
SRR2143502,1,1,0.25,#N/A,8,0.01,0.12,64,4,0.5,#N/A,2,#N/A,32,1
SRR3664958,1,1,0.25,4,4,0.015,0.12,256,2,0.25,8,2,64,32,1
SRR3295808,1,1,0.25,4,8,0.015,0.25,256,4,0.5,#N/A,4,8,32,0.5
SRR3225368,1,1,0.25,#N/A,4,0.01,0.12,32,1,0.5,#N/A,4,#N/A,4,1
SRR3115242,32,16,0.25,#N/A,8,0.01,0.12,64,4,0.5,#N/A,4,#N/A,32,1
SRR3306202,32,32,16,#N/A,8,0.01,0.12,256,32,0.25,#N/A,4,#N/A,32,8
SRR2648769,1,2,0.25,#N/A,8,0.01,0.12,#N/A,2,0.5,#N/A,4,#N/A,4,0.5
SRR3295904,32,32,64,16,32,0.015,4,256,32,16,#N/A,4,64,32,8
SRR3146669,32,32,16,#N/A,8,0.01,0.12,256,32,16,#N/A,4,64,32,8
SRR2239756,1,1,0.25,2,4,0.015,0.125,64,2,0.5,#N/A,2,8,4,0.5
SRR3932985,32,32,32,8,8,0.015,0.12,64,32,1,#N/A,4,8,32,8
SRR3147924,32,32,8,#N/A,8,0.01,0.12,256,32,0.25,#N/A,4,#N/A,32,8
SRR3115237,1,1,0.25,#N/A,8,0.01,0.12,256,2,16,#N/A,4,64,32,1
SRR3295578,1,1,0.25,4,8,0.015,0.12,16,2,0.5,#N/A,8,16,4,1
SRR3509880,32,32,8,#N/A,4,0.01,0.12,256,32,0.25,#N/A,2,#N/A,32,8
SRR1200764,2,1,0.25,#N/A,8,0.01,0.12,#N/A,4,0.5,#N/A,1,64,4,1
SRR3098652,1,1,0.25,#N/A,4,0.01,0.12,256,4,0.25,#N/A,2,#N/A,32,1
SRR2568393,1,1,0.25,#N/A,4,0.01,0.12,64,2,0.5,#N/A,4,64,32,1
SRR3665256,1,1,0.25,4,4,0.015,0.12,16,4,0.5,8,2,#N/A,4,1
SRR2636954,1,1,0.25,#N/A,8,0.01,0.12,256,4,16,#N/A,2,64,32,1
SRR2568398,32,8,0.25,#N/A,4,0.25,0.12,32,2,0.5,#N/A,32,#N/A,32,1
SRR3210563,1,1,0.25,#N/A,8,0.01,0.12,64,4,0.5,#N/A,4,#N/A,4,1
SRR1637055,1,1,0.25,#N/A,8,0.03,0.12,32,4,0.25,#N/A,4,#N/A,4,1
SRR3663783,1,1,0.25,#N/A,8,0.01,0.12,64,2,0.25,#N/A,4,#N/A,4,1
SRR3664675,1,1,0.25,4,4,0.015,0.12,16,1,1,16,4,#N/A,4,0.5
SRR1200765,2,1,0.25,#N/A,8,0.03,0.12,#N/A,2,0.5,#N/A,8,#N/A,4,0.5
SRR3173705,1,1,0.25,#N/A,8,0.01,0.12,64,4,0.5,#N/A,4,#N/A,4,1
SRR3306205,32,32,8,#N/A,8,0.01,0.12,256,32,0.25,#N/A,4,#N/A,32,8
SRR3932902,1,1,0.25,4,8,0.015,0.12,32,4,1,#N/A,4,8,4,1
SRR3000033,32,8,0.25,2,8,0.015,0.125,256,2,0.5,#N/A,4,64,32,1
SRR1752844,32,8,0.25,#N/A,16,0.03,0.12,#N/A,8,16,#N/A,4,64,4,1
SRR2533558,32,16,0.25,#N/A,8,0.01,0.12,256,2,0.25,#N/A,2,64,32,1
SRR3665119,32,32,16,4,4,0.015,0.12,64,32,0.5,8,2,#N/A,4,8
SRR3056907,1,1,0.25,2,8,0.015,0.25,256,4,16,#N/A,4,64,32,1
SRR3191439,1,1,0.25,#N/A,4,0.01,0.12,64,2,0.25,#N/A,1,64,32,0.5
SRR1980619,1,1,0.25,#N/A,8,0.01,0.12,128,4,0.5,#N/A,8,#N/A,32,1
SRR1664271,1,1,0.25,#N/A,4,0.01,0.12,32,1,0.25,#N/A,1,#N/A,32,0.5
SRR2407651,1,1,0.25,8,8,0.03,0.12,64,8,0.5,#N/A,4,8,32,1
SRR3000018,32,8,0.25,2,8,0.015,0.125,256,2,1,#N/A,4,64,32,0.5
SRR2533334,1,1,0.25,#N/A,16,0.01,4,256,2,16,#N/A,4,#N/A,4,1
SRR2566996,1,1,0.25,4,8,0.015,0.12,16,4,0.5,8,4,#N/A,4,1
SRR2407576,32,32,8,4,8,0.015,0.12,256,32,0.5,#N/A,4,8,32,8
SRR3664921,1,1,0.25,8,4,0.015,0.12,32,2,0.25,8,2,#N/A,4,0.5
SRR3665221,1,1,0.25,4,4,0.015,0.12,16,2,0.25,8,2,#N/A,4,0.5
SRR3933036,1,1,0.25,4,8,0.015,0.12,256,2,16,#N/A,4,64,4,1
SRR2670698,1,1,0.25,#N/A,8,0.03,0.25,64,8,1,#N/A,4,#N/A,4,2
SRR1181520,1,1,0.25,#N/A,8,0.01,0.12,#N/A,2,0.25,#N/A,8,#N/A,4,0.5
SRR1664293,1,1,0.25,#N/A,4,0.01,0.12,64,2,0.5,#N/A,2,64,32,1
SRR3295605,1,1,0.25,4,8,0.03,0.12,64,2,0.5,#N/A,4,64,32,1
SRR1923640,1,1,0.25,#N/A,8,0.03,0.12,256,4,0.25,#N/A,4,#N/A,32,1
SRR3091410,1,1,0.25,#N/A,8,0.01,0.12,16,2,0.5,#N/A,4,#N/A,4,1
SRR2962404,1,1,0.25,#N/A,4,0.01,0.12,256,2,0.25,#N/A,2,#N/A,32,1
SRR3295947,32,8,0.25,8,8,0.03,0.25,256,2,0.5,#N/A,2,64,32,1
SRR1777669,2,1,0.25,#N/A,8,0.01,0.12,64,2,0.5,#N/A,4,#N/A,32,0.5
SRR2568392,2,1,0.25,#N/A,8,0.03,0.12,128,2,0.25,#N/A,4,#N/A,4,1
SRR3147928,32,8,0.25,#N/A,8,0.01,0.12,64,2,0.5,#N/A,4,#N/A,32,1
SRR2648754,1,1,0.25,4,8,0.015,0.125,64,2,0.5,#N/A,2,16,4,0.5
SRR2407646,32,8,0.25,4,8,0.015,0.12,256,4,16,#N/A,4,8,32,0.5
SRR3101888,2,2,0.25,#N/A,8,0.03,0.12,64,4,0.25,#N/A,4,#N/A,4,1
SRR1200758,2,1,0.25,#N/A,4,0.03,0.12,#N/A,2,0.5,#N/A,8,64,32,0.5
SRR1528526,32,32,16,#N/A,4,0.01,0.12,64,32,0.25,#N/A,4,#N/A,4,8
SRR1908990,1,1,0.25,#N/A,8,0.01,0.12,256,2,0.5,#N/A,4,64,4,1
SRR3115192,32,8,0.25,#N/A,8,0.01,0.12,256,2,0.5,#N/A,4,64,32,1
SRR2407628,2,1,0.25,4,8,0.03,0.12,64,2,0.5,#N/A,4,4,4,1
SRR1849407,1,1,0.25,#N/A,4,0.01,0.12,64,2,0.5,#N/A,2,64,32,0.5
SRR2533580,2,1,0.25,#N/A,8,0.01,0.12,#N/A,2,0.5,#N/A,4,64,32,0.5
SRR2533574,1,1,0.25,#N/A,8,0.01,0.12,32,2,0.25,#N/A,4,#N/A,4,2
SRR3664705,32,32,16,2,4,0.015,0.12,256,32,0.25,8,4,#N/A,32,8
SRR4280573,1,1,0.25,4,8,0.03,0.12,32,4,0.5,#N/A,4,16,4,1
SRR3665294,32,8,0.25,4,4,0.015,0.12,256,2,0.25,64,4,#N/A,32,0.5
SRR3110478,32,32,16,#N/A,8,0.03,0.12,64,32,1,#N/A,4,#N/A,4,8
SRR2407701,1,1,0.25,4,4,0.015,0.12,32,2,0.5,#N/A,2,64,32,1
SRR2962365,32,8,0.25,#N/A,8,0.01,0.25,32,2,0.5,#N/A,4,64,32,1
SRR1198922,1,1,0.25,#N/A,4,0.01,0.12,#N/A,2,0.25,#N/A,4,64,32,0.5
SRR3932921,1,1,0.25,4,8,0.03,0.12,16,2,0.5,#N/A,4,8,4,1
SRR3665192,32,32,16,4,4,0.015,0.12,256,32,0.25,8,2,#N/A,32,8
SRR2567173,1,1,0.25,4,8,0.015,0.12,32,4,0.5,8,4,#N/A,32,1
SRR3664757,2,1,0.25,4,8,0.03,0.12,32,2,0.5,8,4,#N/A,4,1
SRR3664614,1,1,0.25,4,8,0.03,0.12,16,2,0.5,8,4,#N/A,4,0.5
SRR1544144,1,1,0.25,#N/A,8,0.01,0.12,32,2,0.5,#N/A,4,64,32,1
SRR3295774,1,1,0.25,4,8,0.015,0.125,32,4,0.5,#N/A,4,8,32,2
SRR3765052,32,16,0.25,#N/A,4,0.01,0.12,256,2,0.25,#N/A,2,#N/A,32,0.5
SRR3223148,32,8,0.25,#N/A,8,0.03,0.12,64,4,0.5,#N/A,4,64,4,1
SRR3082383,2,1,0.25,#N/A,8,0.03,0.12,64,2,0.5,#N/A,4,#N/A,4,1
SRR3664798,1,1,0.25,4,4,0.015,0.12,16,2,0.5,8,2,64,32,0.5
SRR1609692,1,1,0.25,#N/A,4,0.01,0.12,64,2,0.5,#N/A,2,#N/A,32,0.5
SRR2407697,1,1,0.25,8,4,0.03,0.12,32,4,1,#N/A,2,8,4,1
SRR2566987,32,8,0.25,8,8,0.015,0.12,32,4,16,8,4,64,32,1
SRR1767810,1,1,0.25,#N/A,4,0.03,0.12,32,2,0.25,#N/A,8,64,32,1
SRR3085522,1,1,0.25,4,4,0.015,0.125,32,2,0.5,#N/A,2,8,32,1
SRR2033915,1,1,0.25,#N/A,8,0.01,0.25,256,4,0.25,#N/A,2,64,32,1
SRR2532717,1,1,0.25,#N/A,8,0.03,0.12,32,2,0.25,#N/A,4,#N/A,4,1
SRR3664648,1,1,0.25,4,4,0.015,0.12,16,2,0.25,8,2,#N/A,4,0.5
SRR3664974,32,32,8,4,8,0.015,0.12,256,16,0.5,8,4,#N/A,32,8
SRR2407708,32,32,16,8,8,0.03,0.12,256,32,0.25,#N/A,2,8,32,8
SRR1556084,32,32,16,#N/A,8,0.01,0.12,16,32,0.25,#N/A,4,#N/A,4,8
SRR3933046,32,32,8,4,4,0.015,0.12,256,32,0.25,#N/A,2,8,32,8
SRR1200748,4,2,0.25,#N/A,8,0.03,0.12,#N/A,4,0.25,#N/A,8,#N/A,32,1
SRR1947038,32,32,64,#N/A,8,0.03,0.12,256,32,16,#N/A,2,64,32,8
SRR3289791,32,32,16,#N/A,8,0.01,0.12,256,32,0.5,#N/A,4,#N/A,32,8
SRR3031827,1,1,0.25,4,8,0.015,0.125,64,4,0.5,#N/A,4,32,4,1
SRR3509905,32,8,0.25,#N/A,8,0.01,0.12,64,2,0.5,#N/A,2,#N/A,32,1
SRR3173691,1,1,0.25,#N/A,4,0.01,0.12,64,2,0.25,#N/A,2,64,32,0.5
SRR3295867,32,32,64,4,32,0.015,0.125,256,32,0.5,#N/A,2,64,32,8
SRR2078282,32,32,16,#N/A,32,0.01,0.25,256,32,16,#N/A,4,64,32,8
SRR3038499,1,1,0.25,4,8,0.015,0.125,32,4,0.25,#N/A,4,4,16,1
SRR1185842,1,1,0.25,#N/A,4,0.01,0.12,#N/A,4,0.5,#N/A,4,#N/A,4,0.5
SRR1583108,32,8,0.25,#N/A,8,0.01,0.12,256,2,16,#N/A,4,64,32,1
SRR1556973,1,1,0.25,#N/A,4,0.01,0.12,16,1,0.25,#N/A,2,#N/A,4,0.5
SRR2567185,1,1,0.25,4,8,0.015,0.12,256,1,16,64,4,64,4,0.5
SRR1598880,1,1,0.25,#N/A,8,0.01,0.12,32,2,0.25,#N/A,4,64,4,0.5
SRR2973831,1,1,0.25,4,8,0.015,0.125,64,4,0.5,#N/A,4,8,32,1
SRR1713640,2,1,0.25,#N/A,8,0.03,0.12,#N/A,4,0.5,#N/A,8,#N/A,4,0.5
SRR2533455,1,1,0.25,#N/A,8,0.01,0.12,128,2,0.25,#N/A,2,#N/A,4,0.5
SRR3099622,32,8,0.25,#N/A,4,0.01,0.12,64,4,0.5,#N/A,4,#N/A,4,1
SRR1801547,1,1,0.25,#N/A,8,0.01,0.12,32,2,0.25,#N/A,4,64,32,1
SRR3295570,1,1,0.25,4,8,0.03,0.12,32,4,0.5,#N/A,4,4,4,1
SRR3932969,1,1,0.25,4,8,0.015,0.12,32,4,0.5,#N/A,2,64,32,1
SRR3665191,32,8,0.25,4,4,0.015,0.12,256,4,0.25,8,2,#N/A,32,1
SRR1973701,1,1,0.25,#N/A,4,0.01,0.12,64,4,0.5,#N/A,4,#N/A,32,1
SRR2239755,1,1,0.25,4,8,0.015,0.125,32,4,0.5,#N/A,2,64,32,1
SRR2407681,1,1,0.25,4,4,0.03,0.12,32,2,0.5,#N/A,2,8,4,1
SRR1574314,32,8,0.25,#N/A,8,0.01,0.12,256,2,16,#N/A,4,64,32,0.5
SRR3330603,32,16,0.25,#N/A,8,0.03,0.12,32,2,0.25,#N/A,4,#N/A,32,1
SRR3664863,32,32,32,8,32,0.03,0.12,256,32,16,64,4,64,32,8
SRR2407776,1,1,0.25,2,4,0.015,0.12,32,2,0.5,#N/A,4,64,32,1
SRR4280563,1,1,0.25,4,8,0.03,0.12,256,2,0.5,#N/A,4,16,32,1
SRR3295635,1,1,0.25,8,8,0.03,4,256,8,0.5,#N/A,4,16,32,2
SRR3001170,1,1,0.25,4,4,0.015,0.125,32,4,0.25,#N/A,4,16,4,1
SRR3219163,32,32,32,#N/A,4,0.01,0.25,256,32,16,#N/A,2,64,32,8
SRR2989197,1,1,0.25,4,8,0.015,0.125,32,4,0.5,#N/A,4,8,32,1
SRR3933010,2,1,0.25,2,8,0.015,0.12,32,2,0.5,#N/A,4,2,4,1
SRR3932973,1,1,0.25,4,4,0.015,0.12,256,2,16,#N/A,4,64,4,1
SRR2407618,1,1,0.25,8,8,0.03,0.12,64,2,0.5,#N/A,4,16,4,0.5
SRR2407679,1,1,0.25,4,4,0.015,0.12,32,2,0.5,#N/A,2,16,4,1
SRR3665201,1,1,0.25,4,4,0.015,0.12,16,2,0.25,8,2,#N/A,4,0.5
SRR2407696,32,32,16,8,8,0.015,0.12,256,32,0.5,#N/A,2,8,32,8
SRR2226880,1,1,0.25,4,8,0.015,0.125,256,2,0.5,#N/A,4,8,32,0.5
SRR1588674,2,1,0.25,#N/A,8,0.01,0.12,64,4,0.5,#N/A,4,#N/A,4,0.5
SRR2567175,1,1,0.25,8,8,0.015,0.12,16,1,1,8,4,#N/A,4,1
SRR1333866,1,1,0.25,#N/A,8,0.01,0.12,64,4,0.5,#N/A,4,#N/A,4,1
SRR2981113,1,1,0.25,4,8,0.015,0.125,64,4,0.25,#N/A,4,8,32,1
SRR3214101,1,1,0.25,#N/A,4,0.01,0.12,64,2,0.25,#N/A,4,64,32,1
SRR1299268,1,1,0.25,#N/A,8,0.01,0.12,#N/A,2,16,#N/A,8,64,32,0.5
SRR2670699,32,16,0.25,#N/A,4,0.01,0.12,32,2,0.5,#N/A,4,64,32,1
SRR2567030,1,1,0.25,2,4,0.015,0.12,32,2,0.25,8,4,64,4,0.5
SRR1813455,1,1,0.25,#N/A,8,0.01,0.12,64,2,0.25,#N/A,4,#N/A,8,0.5
SRR2239959,1,1,0.25,2,4,0.015,0.125,32,2,0.5,#N/A,4,64,4,1
SRR3665011,32,16,0.25,8,32,0.015,0.12,256,2,0.5,8,4,64,32,1
SRR1556931,1,1,0.25,#N/A,8,0.01,0.12,64,2,1,#N/A,4,#N/A,4,0.5
SRR3096105,32,32,16,#N/A,8,0.01,0.12,32,32,1,#N/A,4,64,32,8
SRR3173560,1,1,0.25,#N/A,8,0.01,0.12,16,4,0.5,#N/A,4,#N/A,4,1
SRR3223088,32,16,0.25,#N/A,4,0.03,0.12,256,2,16,#N/A,4,64,32,1
SRR3306281,1,1,0.25,#N/A,4,0.01,0.12,64,2,0.5,#N/A,2,64,32,1
SRR3932920,1,1,0.25,4,4,0.015,0.12,32,4,0.5,#N/A,4,64,32,1
SRR2829310,1,1,0.25,4,8,0.015,0.125,64,4,1,#N/A,2,8,4,1
SRR2017857,1,1,0.25,#N/A,8,0.01,0.25,256,2,0.25,#N/A,2,64,32,0.5
SRR1637073,32,16,0.25,#N/A,8,0.03,0.12,#N/A,2,0.25,#N/A,4,64,32,1
SRR3664726,2,1,0.25,4,8,0.015,0.12,16,2,1,8,2,#N/A,4,1
SRR3330224,32,8,0.25,#N/A,8,0.01,0.12,32,2,0.5,#N/A,4,64,32,1
SRR2567024,32,32,8,2,4,0.015,0.12,256,32,0.5,8,4,#N/A,32,8
SRR2566882,1,1,0.25,4,4,0.015,0.12,16,1,0.5,8,2,64,32,0.5
SRR1998955,1,1,0.25,#N/A,4,0.01,0.12,64,1,0.5,#N/A,2,64,32,0.5
SRR2981104,1,1,0.25,4,8,0.03,0.125,32,2,0.25,#N/A,4,8,4,0.5
SRR1609681,1,1,0.25,#N/A,8,0.01,0.12,256,4,16,#N/A,4,64,32,1
SRR1514721,32,32,16,#N/A,32,0.01,0.12,#N/A,16,0.5,#N/A,4,64,32,8
SRR1544238,32,16,0.25,#N/A,8,0.01,0.12,256,4,16,#N/A,4,64,32,1
SRR3933034,1,1,0.25,4,8,0.015,0.12,32,4,0.25,#N/A,4,16,4,1
SRR2542484,1,1,0.25,#N/A,8,0.01,0.12,32,2,0.5,#N/A,4,#N/A,4,0.5
SRR3665189,1,1,0.25,4,4,0.015,0.12,256,4,0.5,8,4,#N/A,32,1
SRR2583955,1,2,0.25,#N/A,8,0.03,0.12,64,2,0.25,#N/A,4,#N/A,4,1
SRR3021494,32,8,0.25,#N/A,8,0.01,0.12,256,2,0.25,#N/A,2,64,32,1
SRR2227325,1,1,0.25,2,8,0.015,0.125,16,4,0.5,#N/A,4,8,4,1
SRR3116165,1,1,0.25,#N/A,4,0.01,0.12,64,2,0.25,#N/A,2,64,32,0.5
SRR1946891,1,1,0.25,#N/A,8,0.03,0.25,256,4,0.5,#N/A,4,#N/A,32,1
SRR2567011,32,8,0.25,4,8,0.015,0.12,32,2,0.5,8,2,#N/A,32,1
SRR3096096,32,32,16,#N/A,8,0.01,0.12,32,32,0.5,#N/A,4,64,32,8
SRR3052024,1,2,0.25,#N/A,4,0.01,0.12,32,2,0.5,#N/A,4,64,32,1
SRR2567042,1,1,0.25,4,4,0.03,0.12,256,2,0.25,8,4,#N/A,32,1
SRR3606700,1,1,0.25,#N/A,8,0.01,0.12,64,4,0.5,#N/A,2,#N/A,4,1
SRR3295957,1,1,0.25,4,4,0.015,0.125,32,2,0.5,#N/A,2,64,4,1
SRR2407680,1,1,0.25,4,4,0.015,0.12,32,2,0.5,#N/A,2,64,32,1
SRR2017883,32,32,16,#N/A,4,0.01,0.12,256,32,0.25,#N/A,4,64,32,8
SRR4280586,1,1,0.25,2,4,0.015,0.12,256,4,0.25,#N/A,4,8,32,1
SRR2566909,1,1,0.25,4,4,0.015,0.12,64,2,1,8,2,64,32,1
SRR3098650,1,2,0.25,#N/A,8,0.01,0.12,64,2,0.25,#N/A,2,#N/A,4,1
SRR1767807,1,1,0.25,#N/A,8,0.01,0.12,64,1,0.25,#N/A,4,#N/A,4,0.5
SRR3147934,1,1,0.25,#N/A,8,0.01,0.12,256,2,0.5,#N/A,4,#N/A,32,0.5
SRR1774031,1,1,0.25,#N/A,8,0.01,0.12,32,1,0.25,#N/A,4,#N/A,32,0.5
SRR3665170,1,1,0.25,4,4,0.015,0.12,32,2,0.5,8,4,64,32,1
SRR3242340,1,1,0.25,#N/A,4,0.01,0.12,32,2,0.25,#N/A,2,#N/A,4,1
SRR3664891,32,32,64,4,32,0.015,0.12,256,32,16,64,4,64,32,8
SRR3056930,1,1,0.25,2,4,0.015,0.125,256,2,0.5,#N/A,4,8,32,1
SRR3099621,1,1,0.25,#N/A,4,0.01,0.12,32,2,0.25,#N/A,2,#N/A,32,1
SRR1257319,32,16,0.25,#N/A,32,0.06,0.25,#N/A,8,8,#N/A,16,64,32,2
SRR2989211,1,1,0.25,4,8,0.03,0.25,256,4,0.25,#N/A,4,8,32,1
SRR2889980,32,8,0.25,#N/A,8,0.01,0.12,256,2,16,#N/A,4,64,32,1
SRR2584391,32,32,32,#N/A,8,0.01,0.12,16,32,0.5,#N/A,4,#N/A,4,8
SRR3136893,1,1,0.25,#N/A,4,0.01,0.12,32,2,0.25,#N/A,2,#N/A,4,1
SRR2889981,1,1,0.25,#N/A,8,0.01,0.12,256,2,16,#N/A,4,64,16,1
SRR1767753,1,1,0.25,#N/A,4,0.01,0.12,32,1,0.25,#N/A,2,#N/A,4,0.5
SRR3098653,32,32,16,#N/A,8,0.01,0.12,256,32,0.25,#N/A,4,#N/A,32,8
SRR1609690,1,1,0.25,#N/A,4,0.01,0.12,64,1,0.5,#N/A,2,#N/A,4,0.5
SRR3001173,1,1,0.25,4,4,0.015,0.125,32,2,1,#N/A,2,16,4,0.5
SRR3664750,1,1,0.25,4,4,0.03,0.12,16,2,0.5,8,4,#N/A,4,1
SRR3295604,1,1,0.25,4,8,0.015,0.12,64,2,0.5,#N/A,4,64,32,1
SRR3295642,32,32,32,4,32,0.015,0.25,256,32,16,#N/A,2,64,32,8
