,features
447,1.432664633
448,2.257915974
449,1.035794139
450,1.579421878
451,1.255190372
452,1.914476275
453,1.575725317
454,1.910702229
455,2.862697363
456,0.321222007
457,1.801152349
458,0.521588683
459,1.574306965
460,1.483655214
461,1.248917818
462,2.724022388
463,3.051100969
464,1.362972021
465,0.464040488
466,1.217006683
467,2.011587143
468,1.658988118
469,1.636579394
470,2.402812004
471,2.027521849
472,0.928524911
473,1.409468532
474,0.747050822
475,0.932077944
476,1.740262866
477,1.359048247
478,1.320443392
479,1.388174295
480,2.227158546
481,0.926082611
482,1.262753844
483,1.182837963
484,1.767824173
485,1.033275127
486,2.213229179
487,3.138994694
488,0.499898642
489,1.982948542
490,0.66764611
491,1.190102458
492,1.690817237
493,1.159786701
494,2.389465094
495,3.094419241
496,1.627795577
497,0.640199959
498,1.29722321
499,2.010991812
500,1.753735065
501,1.65798223
502,2.295704126
503,2.112087727
504,1.042921066
505,1.253695846
506,0.52780503
507,1.179556251
508,1.531538486
509,1.416522264
510,1.037124276
511,1.105295539
512,2.189532757
513,0.956949055
514,1.441235542
515,1.256594181
516,1.924639821
517,1.154851675
518,1.990268469
519,2.935089111
520,0.436095119
521,1.805381298
522,0.773120344
523,1.666156173
524,1.31133616
525,1.351456642
526,2.502033949
527,3.104253292
528,1.814185977
529,0.49817723
530,1.170547724
531,1.947086453
532,1.639869094
533,1.634284735
534,2.253032684
535,2.303803682
536,1.136595249
537,1.309379697
538,0.529818952
539,1.155133724
540,1.618512869
541,1.334678769
542,1.373807073
543,1.448816895
544,2.556894302
545,0.736986518
546,1.528092861
547,1.369699597
548,1.935522437
549,1.233300209
550,2.064165115
551,2.869474173
552,0.45016098
553,1.79133606
554,0.635445356
555,1.515120983
556,1.357679605
557,1.378108382
558,2.700277805
559,2.944512367
560,1.688670397
561,0.405849904
562,1.225255847
563,1.780989051
564,1.605777144
565,1.885254741
566,2.401821136
567,2.102525949
568,1.021605253
569,1.291060328
570,0.623444021
571,1.194134235
572,1.805275202
573,1.632109523
574,1.48377192
575,1.465094686
576,2.292693615
577,0.912046254
578,1.370250463
579,1.021848559
580,1.946425796
581,1.401379108
582,1.937569499
583,2.939437389
584,0.616386533
585,2.134175062
